Name,phone,address,type,OPEN,picture,image url,Latitude,longitute
The Parlor,(415) 775-5110,"The Cannery, 2801 Leavenworth St, San Francisco, CA 94133", Lounge Bar and Night Club,4:00pm-8:00am,,http://www.theparlorsf.com/media/uploads/interior_pics/front_door_homepage_horizontal.jpg,37.807174,-122.41948
540 Club,(415) 752-7276," 540 Clement St, San Francisco, CA 94118",Bar,12:00pm-2:00am,,http://thenoisebeneaththeapple.com/wp-content/uploads/2012/08/540-club.jpg,37.783093,-122.465164
Lexington Club,(415) 863-2052,,,,,,,
Larry Flynt's Hustler Club,(415) 434-1301,,,,,,,
The 500 Club,(415) 861-2500,"500 Guerrero St, San Francisco, CA 94110",Bar,11:00 am – 2:00 am,,http://500clubsf.com/yahoo_site_admin/assets/images/5sign.78232104_std.jpg,,
Rouge Night Club,(415) 346-7683,,,,,,,
Hungry I,(415) 362-7763,,,,,,,
Penthouse Club San Francisco,(415) 391-2800,,,,,,,
Vertigo,(415) 674-1278,"1160 Polk St, San Francisco, CA 94109",Bar,3:00 pm – 2:00 am,,https://cbks3.google.com/cbk?output=thumbnail&cb_client=maps_sv&thumb=2&panoid=YQxqYBXmPZaYHAK_HWg49w&yaw=334.6064863861733&w=333&h=79,,
Latin American Club,(415) 647-2732,"3286 22nd St, San Francisco, CA 94110",Bar,5:00 pm - 2:00 am,,https://s-media-cache-ak0.pinimg.com/originals/7d/9d/1e/7d9d1ec887289c49d1c536340c33b4e9.jpg,,
The Condor Club,(415) 781-8222,,,,,,,
Comet Club,(415) 567-5589,,,,,,,
Club Deluxe,(415) 552-6949,,,,,,,
Hi-Lo Club,,,,,,,,
Club Twenty-One Taylor,(415) 771-9655,,,,,,,
Divas,(415) 474-3482,,,,,,,
Gold Club,(415) 536-0300,,,,,,,
Monarch,(415) 284-9774,,,,,,,
Double Dutch,(415) 373-1042,,,,,,,
San Francisco Badlands,(415) 626-9320,"4121 18th St, San Francisco, CA 94114",night club, 3:00 pm – 2:00 am,,http://s3-media2.fl.yelpcdn.com/bphoto/rCjnajLYPAQfsC-4SZ5LBA/l.jpg,,
Club Nv,(415) 538-7977,,,,,,,
Power Exchange,(415) 487-9944,,,,,,,
Madrone Art Bar,(415) 241-0202,,,,,,,
F8,(415) 857-1192,"1192 Folsom St, San Francisco, CA 94103",lounge,5:00 pm – 3:00 am,,https://lh3.googleusercontent.com/-v2LRG0dy-gE/VNVl8sPHTPI/AAAAAAAAABE/etCksJeJYnE/s242-k-no/photo.jpg,,
Dovre Club,(415) 285-4169,,,,,,,
Mr Smith's,(415) 355-9991,,,,,,,
Mayes Oyster House,(415) 885-1233,,,,,,,
The Cafe,,,,,,,,
Press Club,(415) 744-5000,"20 Yerba Buena Ln, San Francisco, CA 94103",wine bar,2:00 pm – 12:00 am,,https://geo0.ggpht.com/cbk?output=tile&cb_client=maps_sv.gps&panoid=uRz9MR8A2rYAAAQY7sOC2A&x=0&y=0&zoom=5,,
Presidio Social Club,(415) 885-1888,,,,,,,
The Cellar,(415) 441-5678,,,,,,,
Bruno's,(415) 643-5200,,,,,,,
MatrixFillmore,(415) 563-4180,"3138 Fillmore St
San Francisco, CA 94123
United States",night club,10pm-2am,,http://www.matrixfillmore.com/images/home_image_3.jpg,,
HiFi,(415) 345-8663,,,,,,,
SLOANE SF,(415) 621-2085,,,,,,,
Hara Club,(415) 673-3148,,,,,,,
Vessel,(415) 433-8585,,,,,,,
Make-Out Room,(415) 647-2888,"3225 22nd St, San Francisco, CA 94110",night club,6pm-2am,,http://danivox.com/wp-content/uploads/2012/12/DaniVox_MOR_8.jpg,,
Slate,(415) 558-8521,,,,,,,
1015 Folsom,(415) 431-1200," 1015 Folsom St, San Francisco, CA 94103",night club, 10:00 pm – 3:00 am,,http://guestlistspy.com/wp-content/uploads/2012/07/1015-folsom-guestlist.jpg,,
Dragon Bar,,,,,,,,
Cinch Saloon,(415) 776-4162,,,,,,,
Ruby Skye,(415) 693-0777,"420 Mason St, San Francisco, CA 94102",night club,9pm-2am,,http://www.rubyskye.com/_images/RubySkye.jpg,,
Amnesia,(415) 970-0012,"853 Valencia St, San Francisco, CA 94110",bar,5:00 pm – 2:00 am,,http://uplup.com/music_spot/amnesia-san-francisco/additional_images/Amnesia%20bar.jpg,,
